h,k,tau,I_CX,I_CS
1.0,0.12375,10.0,1.7111809010469492,3.577607203220324
1.0,0.1375,10.0,1.0470015327207443,1.5459858852293313
1.0,0.15125,10.0,1.7245896657678919,3.6152212151477405
1.0,0.165,10.0,1.0474046153264995,1.5443418401855844
1.0,0.17875000000000002,10.0,1.7333422921723842,3.6594467246540643
1.0,0.1925,10.0,1.0476052025214424,1.5421293727677592
1.0,0.20625,10.0,1.7384492725978806,3.6874498107337694
1.0,0.22,10.0,1.0476339814207247,1.5393568432882772
1.0,0.23375,10.0,1.7442230655008635,3.7131355915350954
1.0,0.2475,10.0,1.0475125842574529,1.5360175074743367
1.0,0.26125,10.0,1.7482464110634448,3.7383313587470064
1.0,0.275,10.0,1.047255012038524,1.5320913857418472
1.0,0.28875,10.0,1.7515540559897556,3.756451562995271
1.0,0.3025,10.0,1.0468687513483423,1.5275468529819805
1.0,0.31625,10.0,1.7540861570749462,3.773046797918685
1.0,0.33,10.0,1.046355601216246,1.522341724510627
1.0,0.34375,10.0,1.7560800613559298,3.78582775095268
1.0,0.3575,10.0,1.0457122305891493,1.5164230515384867
1.0,0.37124999999999997,10.0,1.7575742023098702,3.7957271265081785
1.0,0.385,10.0,1.0449305070708244,1.509724783783539
1.0,0.39875,10.0,1.7587001415889294,3.803271866494893
1.0,0.4125,10.0,1.0439977010433528,1.5021644128121474
1.0,0.42624999999999996,10.0,1.7595280757751621,3.8086221899393498
1.0,0.44,10.0,1.0428966919182283,1.4936422410867087
1.0,0.45375,10.0,1.7601153045418436,3.8120574327961947
1.0,0.46749999999999997,10.0,1.0416061955805147,1.4840462332596411
1.0,0.48125,10.0,1.7605080877233192,3.8138198446458764
1.0,0.495,10.0,1.040100885991362,1.4732616178410474
1.0,0.50875,10.0,1.7607421462154316,3.8141057634692936
1.0,0.5225,10.0,1.0383512417837217,1.4611822894945903
1.0,0.53625,10.0,1.7608436073040306,3.813059881044555
1.0,0.55,10.0,1.0363229693500893,1.44772432378516
1.0,0.56375,10.0,1.7608313377153137,3.8107783435693503
1.0,0.5775,10.0,1.0339758082913448,1.4328453265058458
1.0,0.59125,10.0,1.7607181884051732,3.807313399337038
1.0,0.605,10.0,1.031261586485876,1.4165622858387088
1.0,0.61875,10.0,1.7605120773309735,3.802676248001673
1.0,0.6325,10.0,1.0281219005421005,1.3989449805050231
1.0,0.64625,10.0,1.760216813628266,3.796840118187105
1.0,0.66,10.0,1.0244862881248689,1.3800807313437156
1.0,0.67375,10.0,1.7598327235021223,3.7897429532685045
1.0,0.6875,10.0,1.0202713320225798,1.3600441581247593
1.0,0.70125,10.0,1.7593571126535859,3.781289705892974
1.0,0.715,10.0,1.0153803253543567,1.338897937596954
1.0,0.72875,10.0,1.7587846004280456,3.7713544616325367
1.0,0.7424999999999999,10.0,1.0097033177288928,1.3167089602105686
1.0,0.75625,10.0,1.7581073558033782,3.759782786036724
1.0,0.77,10.0,1.0031182134876269,1.2935557143549479
1.0,0.78375,10.0,1.7573152593571135,3.746394788483808
1.0,0.7975,10.0,0.9954936390772692,1.2695236146849405
1.0,0.81125,10.0,1.7563960080971484,3.730989363478788
1.0,0.825,10.0,0.9866935114080666,1.2446951832600899
1.0,0.83875,10.0,1.7553351709033926,3.7133498527727933
1.0,0.8525,10.0,0.9765825795170752,1.2191395538283043
1.0,0.86625,10.0,1.7541161914886674,3.693250990818559
1.0,0.88,10.0,0.9650320423297714,1.1929032784861198
1.0,0.89375,10.0,1.752720324834421,3.670466603742503
1.0,0.9075,10.0,0.9519246062509419,1.1660039811138194
1.0,0.92125,10.0,1.7511264852334902,3.6447773727159185
1.0,0.9349999999999999,10.0,0.9418018113709766,1.1468360246460754
