h,k,tau,I_CX,I_CS
1.0,0.715,10.0,0.7463313985798008,0.8979785241206335
1.0,0.72875,10.0,1.6857849719409386,3.2119671327422075
1.0,0.7424999999999999,10.0,0.7694817119093412,0.9285979160726167
1.0,0.75625,10.0,1.6980476810221816,3.2756766275178055
1.0,0.77,10.0,0.7955372871647153,0.9628408554222723
1.0,0.78375,10.0,1.7089271779995021,3.3374931358812474
1.0,0.7975,10.0,0.8242086045933413,1.0002308046880328
1.0,0.81125,10.0,1.7185518175374557,3.396686718925137
1.0,0.825,10.0,0.8549361619042782,1.0400825267032205
1.0,0.83875,10.0,1.7270317596289908,3.453528294894648
1.0,0.8525,10.0,0.8869498670592275,1.081517864070725
1.0,0.86625,10.0,1.7345038207579435,3.507998503601838
1.0,0.88,10.0,0.9194230861098343,1.123615660982157
1.0,0.89375,10.0,1.741070481597584,3.560023101073252
1.0,0.9075,10.0,0.9516205878592263,1.1655692328359695
1.0,0.92125,10.0,1.7468312235544121,3.6096070534369913
1.0,0.9349999999999999,10.0,0.9736168836372912,1.1944211645224385
1.0,0.94875,10.0,1.7504232111922264,3.6427586747148157
1.0,0.9625,10.0,1.0000336782135433,1.2293350823242686
1.0,0.97625,10.0,1.7544232474955725,3.682070872794482
1.0,0.99,10.0,1.0228168376465867,1.2597164792535889
1.0954773869346734,3.1622776601683795e-05,10.0,1.7576282981278821,3.7156807610697573
1.0954773869346734,3.625117049988535e-05,10.0,1.042668912670105,1.2864179557304758
1.0954773869346734,4.1556988469563484e-05,10.0,1.7602518180674478,3.74481324806763
1.0954773869346734,4.7639380104013405e-05,10.0,1.06013137669401,1.3100971878105638
1.0954773869346734,5.4612006795364095e-05,10.0,1.76243636997498,3.7703372493195166
1.0954773869346734,6.260516572014815e-05,10.0,1.0756217303500473,1.3312637403691834
1.0954773869346734,7.176822469706299e-05,10.0,1.7642829472149448,3.7928898362729084
1.0954773869346734,8.227241341700473e-05,10.0,1.0894650778366641,1.3503169086204874
1.0954773869346734,9.431402320497317e-05,10.0,1.7658615306619356,3.8130247093526295
1.0954773869346734,0.00010811807510766077,10.0,1.1019178728412262,1.3675737271724135
1.0954773869346734,0.00012394252485211965,10.0,1.7672255119033058,3.8310298786483785
1.0954773869346734,0.00014208308325339223,10.0,1.1131850988956304,1.383289191167698
1.0954773869346734,0.00016287874214985498,10.0,1.7684194470149845,3.8473684853928183
1.0954773869346734,0.00018671810912919206,10.0,1.123432635340863,1.3976708651840148
1.0954773869346734,0.0002140466694217523,10.0,1.7694648634159085,3.862109161375578
1.0954773869346734,0.00024537511066398166,10.0,1.1327962361344182,1.4108895536459025
1.0954773869346734,0.00028128886609642633,10.0,1.7703897113488742,3.8754199241064793
1.0954773869346734,0.00032245905452963947,10.0,1.1413881389214007,1.4230872052575827
1.0954773869346734,0.0003696550215126699,10.0,1.7712265386309674,3.8878462198099353
1.0954773869346734,0.0004237587160604063,10.0,1.1493020007381314,1.43438285211787
1.0954773869346734,0.00048578117159706736,10.0,1.7719428869358802,3.8989315250472627
1.0954773869346734,0.0005568813990945267,10.0,1.1566166348917888,1.4448771314288955
1.0954773869346734,0.0006383880454607353,10.0,1.7726262379296065,3.9094138395127187
1.0954773869346734,0.0007318242219076182,10.0,1.1633988758853337,1.454655769722382
1.0954773869346734,0.0008389359662650986,10.0,1.7732231397315308,3.9186924770410156
1.0954773869346734,0.0009617248711152964,10.0,1.1697058011160604,1.4637922973455355
1.0954773869346734,0.0011024854874674263,10.0,1.7737396063049817,3.9272929272243626
1.0954773869346734,0.0012638482029342971,10.0,1.1755864719924112,1.4723501848630416
1.0954773869346734,0.0014488283956730537,10.0,1.774281627427694,3.935989148838946
