tau,h,optimalh_k_ICS,optimalh_I_CS,optimalh_k_ICX,optimalh_I_CX
10.0,9.688442211055277,0.019414919457438815,2.2044013418113404,0.002868316813342012,1.5282775193608094
10.0,9.78391959798995,0.0016608827826277166,1.5764654550222383,0.0255140652003129,1.235557234339931
10.0,9.879396984924623,0.019414919457438815,2.182564250625463,0.002868316813342012,1.520904086383015
10.0,9.974874371859297,0.0014488283956730537,1.579828158579523,0.022256538834596835,1.233693900369417
10.0,10.07035175879397,0.01693610584916738,2.160941436601259,0.0025021024303602817,1.513561172247158
10.0,10.165829145728644,0.0012638482029342971,1.582980264519832,0.019414919457438815,1.2317376955845245
10.0,10.261306532663315,0.01693610584916738,2.1400218800666027,0.0025021024303602817,1.5063349027997195
10.0,10.356783919597989,0.0011024854874674263,1.5858986727939088,0.019414919457438815,1.2300428446241274
10.0,10.452261306532662,0.014773776525985112,2.1197078947660684,0.0021826447283974874,1.499132567686975
10.0,10.547738693467336,0.0009617248711152964,1.5885700413282011,0.01693610584916738,1.2282655108905645
10.0,10.64321608040201,0.012887524132383678,2.1002052136229103,0.0021826447283974874,1.4921261957180374
10.0,10.738693467336683,0.0007318242219076182,1.5912671449092013,0.01693610584916738,1.2264335326134987
10.0,10.834170854271356,0.011242100350620862,2.0811836660894185,0.0019039740150507663,1.485137681461794
10.0,10.92964824120603,0.0006383880454607353,1.594055070383841,0.014773776525985112,1.2248264519738168
10.0,11.025125628140703,0.011242100350620862,2.062653423542593,0.0019039740150507663,1.4783276947235287
10.0,11.120603015075377,0.0005568813990945267,1.596559183524258,0.012887524132383678,1.2231376013883741
10.0,11.21608040201005,0.009806757216915775,2.044427908995379,0.0016608827826277166,1.47162632477565
10.0,11.311557788944723,0.00048578117159706736,1.5987799135152327,0.011242100350620862,1.2213853237486842
10.0,11.407035175879397,0.009806757216915775,2.0266837647256866,0.0016608827826277166,1.464960173923953
10.0,11.50251256281407,0.0004237587160604063,1.6007260706729567,0.011242100350620862,1.219848089604056
